author_id,sentiment,YM,model
249703875,0,01/2018,ALL
902400205797990400,1,01/2018,ALL
497455568,0,01/2018,ALL
357569821,1,01/2018,ALL
199241058,1,01/2018,ALL
30833130,0,01/2018,ALL
888808440583172096,0,01/2018,ALL
769467290878222336,0,01/2018,ALL
3688710915,0,01/2018,ALL
297397741,0,01/2018,ALL
2356982959,0,01/2018,ALL
855311276976635905,1,01/2018,ALL
518238327,0,01/2018,ALL
951707258819432449,1,01/2018,ALL
2356982959,0,01/2018,ALL
518238327,0,01/2018,ALL
481826539,0,01/2018,ALL
573553728,0,01/2018,ALL
857517844917088257,1,01/2018,ALL
3097187167,1,01/2018,ALL
48074205,1,01/2018,ALL
17054817,0,01/2018,ALL
2472856395,1,01/2018,ALL
109170200,1,01/2018,ALL
3951964093,0,01/2018,ALL
17054817,0,01/2018,ALL
3815139737,1,01/2018,ALL
106287256,0,01/2018,ALL
911716127365042177,1,01/2018,ALL
2423877042,1,01/2018,ALL
869901314821685250,0,01/2018,ALL
2274683408,1,01/2018,ALL
919997827136106502,0,01/2018,ALL
2928530227,0,01/2018,ALL
4830114910,1,01/2018,ALL
256965214,0,01/2018,ALL
767958285890625536,0,01/2018,ALL
20339663,0,01/2018,ALL
18094638,1,01/2018,ALL
297397741,1,01/2018,ALL
595479894,1,01/2018,ALL
735440871332712448,1,01/2018,ALL
953390527851921411,0,01/2018,ALL
37314896,0,01/2018,ALL
146436211,1,01/2018,ALL
932004526416162818,1,01/2018,ALL
256965214,1,01/2018,ALL
107013186,0,01/2018,ALL
328141551,1,01/2018,ALL
1381545078,1,01/2018,ALL
4009282273,0,01/2018,ALL
33400255,1,01/2018,ALL
297397741,0,01/2018,ALL
297397741,1,01/2018,ALL
68204430,0,01/2018,ALL
297397741,0,01/2018,ALL
919997827136106502,1,01/2018,ALL
132700649,0,01/2018,ALL
111370676,0,01/2018,ALL
2282807389,0,01/2018,ALL
807750385,1,02/2018,ALL
14846417,0,02/2018,ALL
608525134,1,02/2018,ALL
360723139,1,02/2018,ALL
14846417,0,02/2018,ALL
256965214,0,02/2018,ALL
3151822850,0,02/2018,ALL
76586057,1,02/2018,ALL
417863636,0,02/2018,ALL
756082523709595648,1,02/2018,ALL
1883742216,1,02/2018,ALL
919997827136106502,1,02/2018,ALL
833501333541916673,1,02/2018,ALL
3060539594,0,02/2018,ALL
17419588,0,02/2018,ALL
956922357360230400,1,02/2018,ALL
93509250,1,02/2018,ALL
911716127365042177,1,02/2018,ALL
432423388,1,02/2018,ALL
298104693,0,02/2018,ALL
36624028,0,02/2018,ALL
23558403,0,02/2018,ALL
264340308,0,02/2018,ALL
31730367,0,02/2018,ALL
297397741,0,02/2018,ALL
297397741,0,02/2018,ALL
919997827136106502,0,02/2018,ALL
2835428654,1,02/2018,ALL
41667018,0,02/2018,ALL
18018985,0,02/2018,ALL
112816720,1,02/2018,ALL
919997827136106502,0,02/2018,ALL
919997827136106502,0,02/2018,ALL
946859584861417473,0,02/2018,ALL
3478361295,1,02/2018,ALL
1913783881,1,02/2018,ALL
1355236075,1,02/2018,ALL
163171046,1,02/2018,ALL
756815930,0,02/2018,ALL
919997827136106502,0,02/2018,ALL
2908107542,0,02/2018,ALL
948394560,1,02/2018,ALL
718804592973053952,0,02/2018,ALL
1132795518,0,02/2018,ALL
14846417,0,02/2018,ALL
1536562052,1,02/2018,ALL
555031989,1,02/2018,ALL
4784640996,0,02/2018,ALL
259932622,1,02/2018,ALL
290058264,1,02/2018,ALL
600637195,0,02/2018,ALL
898477122943102977,1,02/2018,ALL
18604758,1,02/2018,ALL
1536103471,0,02/2018,ALL
537454220,1,02/2018,ALL
756815930,0,02/2018,ALL
816273673162289152,0,02/2018,ALL
1229675046,1,02/2018,ALL
2870008455,1,02/2018,ALL
51938160,0,02/2018,ALL
2942178901,1,02/2018,ALL
987453284,1,02/2018,ALL
40449894,0,02/2018,ALL
2848442307,1,02/2018,ALL
22439399,1,02/2018,ALL
18018985,0,02/2018,ALL
3962353814,0,02/2018,ALL
64703161,1,02/2018,ALL
718804592973053952,0,02/2018,ALL
718804592973053952,0,02/2018,ALL
1510056972,1,02/2018,ALL
3151822850,0,02/2018,ALL
21605324,1,02/2018,ALL
4830114910,0,02/2018,ALL
848955104288006145,1,02/2018,ALL
898567804156129281,1,02/2018,ALL
821248195300732928,1,02/2018,ALL
3151822850,1,02/2018,ALL
919997827136106502,0,02/2018,ALL
718804592973053952,0,02/2018,ALL
718804592973053952,0,02/2018,ALL
18018985,0,02/2018,ALL
765884179737346048,0,02/2018,ALL
4894515452,1,02/2018,ALL
65353100,1,02/2018,ALL
854424657058910208,1,02/2018,ALL
297397741,1,02/2018,ALL
3815139737,1,02/2018,ALL
199241058,1,02/2018,ALL
69841822,0,02/2018,ALL
702282585657974784,0,02/2018,ALL
765884179737346048,0,02/2018,ALL
297397741,0,02/2018,ALL
21605324,1,02/2018,ALL
916111409062088704,0,02/2018,ALL
18080729,0,02/2018,ALL
4848366554,0,02/2018,ALL
697522301642919936,1,02/2018,ALL
301794522,0,02/2018,ALL
59303321,1,02/2018,ALL
2423700076,0,02/2018,ALL
106287256,0,02/2018,ALL
1630849633,0,02/2018,ALL
489489166,0,02/2018,ALL
3412763111,1,02/2018,ALL
1854553681,1,02/2018,ALL
21621749,1,02/2018,ALL
2767159070,1,02/2018,ALL
297397741,0,02/2018,ALL
20940870,0,02/2018,ALL
877371103567527936,1,02/2018,ALL
782164932976672768,1,02/2018,ALL
846985319748644864,0,02/2018,ALL
93509250,1,02/2018,ALL
10335072,0,02/2018,ALL
128494703,0,02/2018,ALL
102966683,0,02/2018,ALL
919997827136106502,1,02/2018,ALL
782164932976672768,1,02/2018,ALL
3815139737,1,02/2018,ALL
151381533,0,02/2018,ALL
131820370,0,02/2018,ALL
731915574880677888,1,02/2018,ALL
316204919,1,02/2018,ALL
862246149448581121,0,02/2018,ALL
35216864,0,02/2018,ALL
17463660,0,02/2018,ALL
15135567,0,02/2018,ALL
420368126,0,02/2018,ALL
920122256365199360,0,02/2018,ALL
4583278638,1,02/2018,ALL
477490531,1,02/2018,ALL
948394560,0,02/2018,ALL
4889906106,1,02/2018,ALL
1150574654,0,02/2018,ALL
1536562052,0,02/2018,ALL
947522489818562561,0,02/2018,ALL
555031989,0,02/2018,ALL
747408780,0,02/2018,ALL
75200479,0,02/2018,ALL
192589318,1,02/2018,ALL
